trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.998}",25,0,-156.9738661953872,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.85, 'e': 0.996004}",25,0,-62.36488886553472,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.85, 'e': 0.994011992}",25,0,-47.5778104935673,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.85, 'e': 0.992023968016}",20,0,-56.62562682245529,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.85, 'e': 0.990039920079968}",25,0,-102.28667623685571,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.9880598402398081}",20,0,-100.26167649760154,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.85, 'e': 0.9860837205593285}",30,0,-214.52156120380894,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.85, 'e': 0.9841115531182099}",25,0,-116.78852412523848,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.85, 'e': 0.9821433300119734}",30,0,-165.3759395828987,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.85, 'e': 0.9801790433519495}",25,0,-112.6152467322297,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.85, 'e': 0.9782186852652456}",25,0,-84.42677981876449,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.85, 'e': 0.976262247894715}",20,0,-46.595763575990546,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.85, 'e': 0.9743097233989256}",20,0,-146.12521255106776,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
14,False,"{'a': 0.85, 'e': 0.9723611039521278}",20,4,-72.9073320093393,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.85, 'e': 0.9704163817442236}",30,0,-228.50562970738275,"{0: 16, 1: 0, 2: 9, 3: 2, 4: 3}",0
16,False,"{'a': 0.85, 'e': 0.9684755489807352}",25,0,-103.17430771355498,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.85, 'e': 0.9665385978827737}",20,0,-50.57224591445878,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.85, 'e': 0.9646055206870082}",20,0,-89.59486706209,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.85, 'e': 0.9626763096456342}",30,0,-181.5273031152625,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.85, 'e': 0.9607509570263429}",20,0,-101.61198822004287,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.85, 'e': 0.9588294551122902}",25,0,-148.1221178024718,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.85, 'e': 0.9569117962020657}",20,0,-62.737289150348225,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.85, 'e': 0.9549979726096616}",20,0,-154.34828308478558,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
24,False,"{'a': 0.85, 'e': 0.9530879766644422}",20,0,-196.1061785147739,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 5}",0
25,False,"{'a': 0.85, 'e': 0.9511818007111134}",25,12,-97.90701483936478,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 1}",1
26,False,"{'a': 0.85, 'e': 0.9492794371096911}",20,0,-74.44648090064453,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.85, 'e': 0.9473808782354717}",20,0,-126.5588522944527,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.85, 'e': 0.9454861164790007}",25,0,-98.48692011957408,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.85, 'e': 0.9435951442460427}",30,0,-206.19962813080016,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
30,False,"{'a': 0.85, 'e': 0.9417079539575507}",20,0,-124.75753679138074,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.85, 'e': 0.9398245380496356}",20,0,-86.83844390990399,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.85, 'e': 0.9379448889735363}",30,2,-59.412550828883674,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 1}",1
33,False,"{'a': 0.85, 'e': 0.9360689991955893}",25,0,-84.11211327572563,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
34,False,"{'a': 0.85, 'e': 0.9341968611971981}",20,0,-7.509707191964985,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.85, 'e': 0.9323284674748037}",30,0,-40.73101144921223,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.85, 'e': 0.930463810539854}",20,0,-177.69497903599864,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
37,False,"{'a': 0.85, 'e': 0.9286028829187744}",20,4,20.069226435716608,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.85, 'e': 0.9267456771529368}",20,0,-68.76823846288242,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
39,False,"{'a': 0.85, 'e': 0.9248921857986309}",20,0,-171.81246616468087,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
40,False,"{'a': 0.85, 'e': 0.9230424014270336}",20,0,-159.73736431612105,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.85, 'e': 0.9211963166241796}",25,0,-94.71116198876719,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.85, 'e': 0.9193539239909312}",20,0,-79.31810312433652,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.85, 'e': 0.9175152161429493}",25,0,-127.43685896987992,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.85, 'e': 0.9156801857106633}",30,12,-43.41245221487652,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.85, 'e': 0.913848825339242}",20,0,-80.70952861813308,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.85, 'e': 0.9120211276885636}",30,0,-94.0494999155209,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.85, 'e': 0.9101970854331864}",20,0,-49.0789198356199,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.85, 'e': 0.9083766912623201}",20,2,-79.2908143947506,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
49,False,"{'a': 0.85, 'e': 0.9065599378797955}",35,8,-95.73446335940451,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 0}",1
50,False,"{'a': 0.85, 'e': 0.9047468180040359}",25,3,-42.82156069890866,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 0}",1
51,False,"{'a': 0.85, 'e': 0.9029373243680279}",20,0,-54.83399396528199,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.85, 'e': 0.9011314497192918}",25,0,-102.9184562435067,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.85, 'e': 0.8993291868198532}",20,9,-111.23996776621964,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 2}",1
54,False,"{'a': 0.85, 'e': 0.8975305284462135}",20,0,-104.10348118066823,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.85, 'e': 0.8957354673893211}",20,1,-89.4498353013385,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
56,False,"{'a': 0.85, 'e': 0.8939439964545425}",25,0,-144.1315365134502,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
57,False,"{'a': 0.85, 'e': 0.8921561084616334}",25,7,-128.66807508641745,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
58,False,"{'a': 0.85, 'e': 0.8903717962447101}",20,0,-58.51477188838505,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.85, 'e': 0.8885910526522206}",20,0,-55.98792765269277,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.85, 'e': 0.8868138705469162}",30,0,-55.27592746523651,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
61,False,"{'a': 0.85, 'e': 0.8850402428058224}",25,1,-211.16936567959837,"{0: 9, 1: 5, 2: 4, 3: 4, 4: 2}",1
62,False,"{'a': 0.85, 'e': 0.8832701623202107}",25,0,-14.883738276208916,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.85, 'e': 0.8815036219955703}",20,0,-31.19202499311401,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.85, 'e': 0.8797406147515792}",20,0,-128.48780476502668,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
65,False,"{'a': 0.85, 'e': 0.877981133522076}",25,0,-112.64282273097237,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.85, 'e': 0.8762251712550319}",20,1,-136.32552381703118,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 2}",1
67,False,"{'a': 0.85, 'e': 0.8744727209125218}",25,0,-231.890159063309,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
68,False,"{'a': 0.85, 'e': 0.8727237754706968}",25,0,-72.85202759629638,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
69,False,"{'a': 0.85, 'e': 0.8709783279197554}",25,0,-27.588580946085532,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
70,False,"{'a': 0.85, 'e': 0.8692363712639158}",20,0,-173.53562699432158,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
71,False,"{'a': 0.85, 'e': 0.867497898521388}",25,0,-171.31798158426471,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
72,False,"{'a': 0.85, 'e': 0.8657629027243453}",25,0,-64.53689955936667,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.85, 'e': 0.8640313769188966}",20,0,-41.308641306528855,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.85, 'e': 0.8623033141650589}",20,0,-51.10527298103494,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.85, 'e': 0.8605787075367288}",30,0,-217.76335375471524,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 4}",0
76,False,"{'a': 0.85, 'e': 0.8588575501216553}",20,0,-68.94985828476592,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.85, 'e': 0.857139835021412}",30,0,-134.75697836736748,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.85, 'e': 0.8554255553513692}",25,0,-80.1690185233283,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
79,False,"{'a': 0.85, 'e': 0.8537147042406664}",35,0,-154.54445463162193,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
80,False,"{'a': 0.85, 'e': 0.8520072748321851}",25,9,-75.95249243217711,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.85, 'e': 0.8503032602825207}",25,0,-124.9402188138128,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
82,False,"{'a': 0.85, 'e': 0.8486026537619556}",25,0,-44.05931119375845,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.85, 'e': 0.8469054484544317}",25,0,-42.511591378196954,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.85, 'e': 0.8452116375575228}",20,0,-127.42151155440256,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.85, 'e': 0.8435212142824078}",20,0,-42.53296959283436,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.85, 'e': 0.841834171853843}",25,3,-84.46533243732466,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.85, 'e': 0.8401505035101353}",30,0,-126.32275111934841,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
88,False,"{'a': 0.85, 'e': 0.838470202503115}",25,0,-118.50731638175147,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
89,False,"{'a': 0.85, 'e': 0.8367932620981088}",20,16,6.513781521419792,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.85, 'e': 0.8351196755739125}",20,0,-93.7296331814743,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.85, 'e': 0.8334494362227647}",20,0,-121.243164052789,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.85, 'e': 0.8317825373503192}",25,0,-114.14860228558524,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
93,False,"{'a': 0.85, 'e': 0.8301189722756185}",35,0,-116.28631458786414,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
94,False,"{'a': 0.85, 'e': 0.8284587343310672}",25,15,-27.99887767586427,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
95,False,"{'a': 0.85, 'e': 0.8268018168624051}",20,0,-90.22672134663698,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
96,False,"{'a': 0.85, 'e': 0.8251482132286803}",30,0,-145.4737164835599,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
97,False,"{'a': 0.85, 'e': 0.823497916802223}",20,0,-139.8356053807309,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
98,False,"{'a': 0.85, 'e': 0.8218509209686186}",20,0,-22.948607140435897,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.85, 'e': 0.8202072191266814}",20,0,-53.134721595760105,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.85, 'e': 0.818566804688428}",20,0,-110.40222298414437,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
101,False,"{'a': 0.85, 'e': 0.8169296710790511}",20,0,-93.5013360660437,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
102,False,"{'a': 0.85, 'e': 0.815295811736893}",35,1,-197.8301975728909,"{0: 21, 1: 3, 2: 5, 3: 2, 4: 3}",1
103,False,"{'a': 0.85, 'e': 0.8136652201134192}",25,16,-5.740390608528768,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.85, 'e': 0.8120378896731923}",20,0,-103.11206119496671,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
105,False,"{'a': 0.85, 'e': 0.8104138138938459}",20,0,-98.43741400735705,"{0: 7, 1: 7, 2: 5, 3: 1, 4: 0}",0
106,False,"{'a': 0.85, 'e': 0.8087929862660582}",20,0,-99.82252571533441,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
107,False,"{'a': 0.85, 'e': 0.8071754002935261}",25,0,-156.39689761273266,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
108,False,"{'a': 0.85, 'e': 0.805561049492939}",25,0,-45.482936951021934,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
109,False,"{'a': 0.85, 'e': 0.8039499273939532}",25,3,-31.14400922019177,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
110,False,"{'a': 0.85, 'e': 0.8023420275391653}",30,0,-96.83086879829885,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
111,False,"{'a': 0.85, 'e': 0.800737343484087}",25,19,-1.2227164333484217,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.85, 'e': 0.7991358687971188}",20,0,-141.90916599883406,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.85, 'e': 0.7975375970595246}",20,10,-12.112432869417786,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.85, 'e': 0.7959425218654056}",25,0,-153.5324023120459,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
115,False,"{'a': 0.85, 'e': 0.7943506368216747}",25,0,-41.157750145634814,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.85, 'e': 0.7927619355480314}",20,0,-81.2312243116641,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.85, 'e': 0.7911764116769353}",25,0,-149.7408441858087,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
118,False,"{'a': 0.85, 'e': 0.7895940588535815}",25,0,-176.09621085803946,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
119,False,"{'a': 0.85, 'e': 0.7880148707358743}",30,7,-79.18135660152767,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
120,False,"{'a': 0.85, 'e': 0.7864388409944025}",25,0,-178.10897854207093,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
121,False,"{'a': 0.85, 'e': 0.7848659633124138}",20,0,-49.88490779063737,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.85, 'e': 0.783296231385789}",20,0,-180.2591595600122,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
123,False,"{'a': 0.85, 'e': 0.7817296389230174}",30,10,-20.093684846184754,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.85, 'e': 0.7801661796451713}",20,0,-43.69418283490845,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.85, 'e': 0.778605847285881}",20,16,6.214589059440938,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.85, 'e': 0.7770486355913092}",30,0,-69.58208818984838,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
127,False,"{'a': 0.85, 'e': 0.7754945383201266}",30,0,-90.3168917979308,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
128,False,"{'a': 0.85, 'e': 0.7739435492434863}",25,0,-27.638468762868243,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.85, 'e': 0.7723956621449993}",25,3,-11.730070802930848,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.85, 'e': 0.7708508708207094}",20,0,-36.41753826372395,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.85, 'e': 0.769309169079068}",30,0,-91.2009508831749,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
132,False,"{'a': 0.85, 'e': 0.7677705507409098}",20,8,-59.3316985467115,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.85, 'e': 0.766235009639428}",25,0,-23.02674945770432,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.85, 'e': 0.7647025396201492}",20,12,-20.247839897274307,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.85, 'e': 0.763173134540909}",20,0,-5.695459259429128,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.85, 'e': 0.7616467882718272}",20,0,-161.31258538641282,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
137,False,"{'a': 0.85, 'e': 0.7601234946952835}",20,0,-73.61014585708203,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.85, 'e': 0.7586032477058929}",20,0,-45.066008327451584,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
139,False,"{'a': 0.85, 'e': 0.7570860412104812}",25,15,-13.892416396212074,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.85, 'e': 0.7555718691280602}",25,0,-71.3946429000521,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
141,False,"{'a': 0.85, 'e': 0.7540607253898041}",25,0,-81.7925511342608,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
142,False,"{'a': 0.85, 'e': 0.7525526039390245}",25,0,-83.56225949937476,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
143,False,"{'a': 0.85, 'e': 0.7510474987311464}",20,9,-55.09912206953192,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
144,False,"{'a': 0.85, 'e': 0.7495454037336841}",20,0,-88.58903346564855,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
145,False,"{'a': 0.85, 'e': 0.7480463129262167}",20,0,-59.15901832123077,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.85, 'e': 0.7465502203003642}",20,0,-136.000799457356,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
147,False,"{'a': 0.85, 'e': 0.7450571198597635}",30,0,-121.54450152583111,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
148,False,"{'a': 0.85, 'e': 0.743567005620044}",35,0,-157.4593407105068,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
149,False,"{'a': 0.85, 'e': 0.7420798716088038}",30,21,1.5145353634190075,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.85, 'e': 0.7405957118655863}",25,9,-42.25077443958044,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
151,False,"{'a': 0.85, 'e': 0.7391145204418551}",20,6,4.020697114115006,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.85, 'e': 0.7376362914009714}",20,0,-40.53822395782436,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
153,False,"{'a': 0.85, 'e': 0.7361610188181695}",25,17,-28.371313423309118,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.85, 'e': 0.7346886967805332}",25,0,-123.23851393383234,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
155,False,"{'a': 0.85, 'e': 0.733219319386972}",20,0,-20.54426883153741,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.85, 'e': 0.7317528807481981}",20,0,-161.88130000179976,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
157,False,"{'a': 0.85, 'e': 0.7302893749867018}",25,0,-93.31820265391181,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
158,False,"{'a': 0.85, 'e': 0.7288287962367284}",20,0,-60.99242936967073,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.85, 'e': 0.727371138644255}",25,6,-21.108679610229945,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
160,False,"{'a': 0.85, 'e': 0.7259163963669665}",20,0,-24.836497267112026,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.85, 'e': 0.7244645635742325}",20,8,-3.3086410716429424,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.85, 'e': 0.723015634447084}",20,16,8.486275731122491,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.85, 'e': 0.7215696031781899}",20,0,-48.76540748735759,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
164,False,"{'a': 0.85, 'e': 0.7201264639718334}",25,0,-181.40141322249272,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
165,False,"{'a': 0.85, 'e': 0.7186862110438897}",25,0,-75.30946277906098,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
166,False,"{'a': 0.85, 'e': 0.717248838621802}",25,0,-28.88297800236272,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.85, 'e': 0.7158143409445584}",20,0,-69.46603259392809,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.85, 'e': 0.7143827122626694}",20,0,-26.8311084346788,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
169,False,"{'a': 0.85, 'e': 0.7129539468381441}",25,0,-34.483949201072406,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.85, 'e': 0.7115280389444678}",20,1,-67.9321962330656,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
171,False,"{'a': 0.85, 'e': 0.7101049828665789}",25,0,-26.223124958191644,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
172,False,"{'a': 0.85, 'e': 0.7086847729008457}",20,4,-43.31107013210447,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
173,False,"{'a': 0.85, 'e': 0.707267403355044}",20,0,-92.18365407979283,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.85, 'e': 0.705852868548334}",30,0,-99.37414877470637,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
175,False,"{'a': 0.85, 'e': 0.7044411628112373}",20,0,-52.71195841016955,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.85, 'e': 0.7030322804856147}",20,0,-88.420796198191,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
177,False,"{'a': 0.85, 'e': 0.7016262159246435}",30,0,-59.09835841187618,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
178,False,"{'a': 0.85, 'e': 0.7002229634927942}",20,0,-28.257758419743773,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
179,False,"{'a': 0.85, 'e': 0.6988225175658086}",20,0,14.477032481843699,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.85, 'e': 0.697424872530677}",20,12,2.333007055067883,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.85, 'e': 0.6960300227856157}",20,0,-117.09041734927244,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
182,False,"{'a': 0.85, 'e': 0.6946379627400444}",20,0,-143.44022928117138,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
183,False,"{'a': 0.85, 'e': 0.6932486868145643}",20,0,-70.22216410068866,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
184,False,"{'a': 0.85, 'e': 0.6918621894409351}",25,0,-51.871772376437974,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
